time	V(V_Tout,Vcm)	V(V_tin,Vcm)
1.929306905931889e-03	5.759434e-01	1.506760e-01
1.929530146541140e-03	5.771376e-01	1.468737e-01
1.929766329868733e-03	5.734099e-01	1.395305e-01
1.929949176402870e-03	5.700321e-01	1.360463e-01
1.930085079300566e-03	5.686854e-01	1.383395e-01
1.930266974213198e-03	5.666882e-01	1.472006e-01
1.930414666613280e-03	5.644330e-01	1.573447e-01
1.930534213513282e-03	5.621759e-01	1.664274e-01
1.930663621778463e-03	5.596922e-01	1.757298e-01
1.930814184038930e-03	5.569600e-01	1.840837e-01
1.930970004364966e-03	5.545987e-01	1.888579e-01
1.931134895055182e-03	5.530433e-01	1.911759e-01
1.931272873719234e-03	5.523443e-01	1.929035e-01
1.931429172376366e-03	5.518875e-01	1.952732e-01
1.931613480080953e-03	5.515063e-01	1.978916e-01
1.931795662479474e-03	5.513375e-01	1.997263e-01
1.932047260207405e-03	5.519544e-01	2.024344e-01
1.932217744296812e-03	5.531014e-01	2.067692e-01
1.932449079568702e-03	5.549438e-01	2.160964e-01
1.932658713905288e-03	5.566603e-01	2.247353e-01
1.932887268225420e-03	5.590420e-01	2.310971e-01
1.933096780577431e-03	5.614218e-01	2.307622e-01
1.933354949900520e-03	5.659154e-01	2.243824e-01
1.933514559610823e-03	5.697814e-01	2.190390e-01
1.933643196773278e-03	5.726963e-01	2.141048e-01
1.933770314126897e-03	5.755033e-01	2.100839e-01
1.933928743035228e-03	5.789326e-01	2.071910e-01
1.934079443901387e-03	5.819730e-01	2.060218e-01
1.934230681652567e-03	5.846685e-01	2.047718e-01
1.934378439534022e-03	5.870854e-01	2.027980e-01
1.934531697308983e-03	5.894879e-01	2.005100e-01
1.934755010377442e-03	5.931162e-01	1.982732e-01
1.935016928598969e-03	5.960446e-01	1.947110e-01
1.935162409578246e-03	5.969152e-01	1.888836e-01
1.935299959672644e-03	5.977025e-01	1.784138e-01
1.935440726815872e-03	5.984823e-01	1.643341e-01
1.935608855037014e-03	5.994672e-01	1.471723e-01
1.935786385098852e-03	6.003387e-01	1.331812e-01
1.935981728646229e-03	6.001306e-01	1.273437e-01
1.936190054682060e-03	5.974439e-01	1.335714e-01
1.936386832316865e-03	5.937606e-01	1.496245e-01
1.936519191135428e-03	5.905812e-01	1.634109e-01
1.936641262290236e-03	5.876584e-01	1.764564e-01
1.936756861177093e-03	5.850132e-01	1.871581e-01
1.936873025028625e-03	5.825787e-01	1.947429e-01
1.936991453190054e-03	5.804022e-01	1.980100e-01
1.937119124717689e-03	5.785178e-01	1.967462e-01
1.937252234945326e-03	5.772076e-01	1.919136e-01
1.937379051299515e-03	5.763540e-01	1.850964e-01
1.937511637568795e-03	5.756821e-01	1.767746e-01
1.937639554524067e-03	5.751442e-01	1.688136e-01
1.937767761379749e-03	5.746065e-01	1.621474e-01
1.937908146330191e-03	5.738972e-01	1.575558e-01
1.938036358071147e-03	5.731777e-01	1.566244e-01
1.938199437182692e-03	5.717386e-01	1.582962e-01
1.938324188543504e-03	5.703304e-01	1.607206e-01
1.938457490796701e-03	5.688526e-01	1.642042e-01
1.938600548438052e-03	5.672278e-01	1.681362e-01
1.938721912342853e-03	5.658451e-01	1.711448e-01
1.938854645619002e-03	5.644082e-01	1.736286e-01
1.938980368481363e-03	5.631606e-01	1.753087e-01
1.939111109516426e-03	5.620919e-01	1.777729e-01
1.939215341410433e-03	5.613791e-01	1.815846e-01
1.939333755716470e-03	5.606754e-01	1.880410e-01
1.939496827516415e-03	5.596919e-01	1.982273e-01
1.939664394013865e-03	5.587984e-01	2.080080e-01
1.939876510004247e-03	5.581772e-01	2.164073e-01
1.940094824532572e-03	5.587714e-01	2.205684e-01
1.940303156869482e-03	5.606037e-01	2.231375e-01
1.940494652120276e-03	5.629073e-01	2.257321e-01
1.940698006054810e-03	5.655614e-01	2.279796e-01
1.940976392684054e-03	5.697628e-01	2.307635e-01
1.941192177130201e-03	5.739268e-01	2.354340e-01
1.941382619817551e-03	5.781700e-01	2.431425e-01
